label,n,median,mean,pct_win,p05,p25,p75,worst,best,capital_x,horizonte
MVRV ladder 1.2/1.0/0.9/0.8 -> 1.5/2/3/4,131,1.1404835498089447,1.1218850560953342,84.7328244274809,0.901677582816947,1.0155337840568635,1.2099721511550494,0.8335824831353471,1.3690718500188168,1.282648401826484,3 anos
MVRV ladder 1.2/1.0/0.9/0.8 -> 1.5/2/3/4,119,1.1605507951956533,1.1468792199017752,82.35294117647058,0.9154399561570201,1.0346698196416961,1.2540444714023506,0.8959616703725853,1.4349714260694768,1.2136986301369863,4 anos
MVRV ladder 1.2/1.0/0.9/0.8 -> 1.5/2/3/4,106,1.1693554866387403,1.1488635892777623,87.73584905660378,0.946647623402216,1.0520715189865437,1.225832781450923,0.9210029289695685,1.387982815113629,1.205068493150685,5 anos
Mayer ladder 0.9/0.8/0.7/0.6 -> 1.5/2/3/4,131,1.0630062979948833,1.0479264046617782,64.8854961832061,0.8526860105677714,0.9827689820661034,1.1260013510587297,0.8162043412863579,1.2539543978107557,1.3808219178082193,3 anos
Mayer ladder 0.9/0.8/0.7/0.6 -> 1.5/2/3/4,119,1.0793902242870586,1.0544833106935108,72.26890756302521,0.841285369556923,0.985592817531452,1.146191056779624,0.8262837318387198,1.2139511977228659,1.3414383561643837,4 anos
Mayer ladder 0.9/0.8/0.7/0.6 -> 1.5/2/3/4,106,1.0565700485225475,1.0404017123813911,75.47169811320755,0.8540463108128613,1.0086460097095378,1.1121405446150323,0.8369756723572774,1.1646753899953235,1.3213698630136985,5 anos
Preco/RealizedPrice 1.2/1.0/0.9/0.8,131,1.142272137828082,1.1228052550853636,84.7328244274809,0.9016298360873616,1.0163737507449968,1.212576635131967,0.8321842873838684,1.373053104692406,1.2812785388127854,3 anos
Preco/RealizedPrice 1.2/1.0/0.9/0.8,119,1.162910608835542,1.1481825409326096,82.35294117647058,0.9158916724748363,1.0356826153490333,1.2545254248518012,0.8974752685154224,1.4402105634127442,1.216095890410959,4 anos
Preco/RealizedPrice 1.2/1.0/0.9/0.8,106,1.1715543163065807,1.1503337050498215,87.73584905660378,0.9468154076462947,1.0537136179570956,1.2246475677888808,0.9223026930928971,1.394043930755351,1.2053424657534246,5 anos
Preco/MM200W 1.2/1.0/0.9/0.8,131,1.0303606395495628,1.0680292100906361,61.832061068702295,0.9841758763856763,1.0,1.1044003127301267,0.9736448092559878,1.314467118116202,1.060730593607306,3 anos
Preco/MM200W 1.2/1.0/0.9/0.8,119,1.0,1.0613141326256181,49.57983193277311,0.9727587531985912,0.9899650413414796,1.066812085339438,0.9562476794919742,1.3057228286554383,1.0455479452054794,4 anos
Preco/MM200W 1.2/1.0/0.9/0.8,106,0.9968890460392024,1.0284480428339284,36.79245283018868,0.9594083854827182,0.9768910587492468,1.0296885566939675,0.9581356438076762,1.2612814140218123,1.0364383561643835,5 anos
RSI semanal 45/40/35/30,131,1.087652945723834,1.0709571485941458,70.22900763358778,0.911389501798826,0.9897944986464078,1.1501022556011276,0.8708848733840967,1.2283855282764744,1.2748858447488585,3 anos
RSI semanal 45/40/35/30,119,1.104931373808904,1.0781269396741608,73.94957983193278,0.9108020476578771,0.9950568669478297,1.1718331275207623,0.9008722894955635,1.2181570465474796,1.2565068493150684,4 anos
RSI semanal 45/40/35/30,106,1.0714643845943304,1.0611607697714123,78.30188679245283,0.9240771394535261,1.012905192471011,1.1163314909809325,0.9060571781792478,1.1869093942417788,1.3087671232876712,5 anos
MVRV percentil 0.35/0.20/0.10/0.05,131,1.1533495963688811,1.1182890265861487,83.96946564885496,0.868021693049781,1.0315590835214898,1.208269841181786,0.7856964606218068,1.3615229513884073,1.3821917808219177,3 anos
MVRV percentil 0.35/0.20/0.10/0.05,119,1.1767904721210276,1.1404859094233581,83.19327731092437,0.8774335217331733,1.0332485826829594,1.2447896464354313,0.8623451958980833,1.4021838637834518,1.3150684931506849,4 anos
MVRV percentil 0.35/0.20/0.10/0.05,106,1.172185265113713,1.1378150451693616,84.90566037735849,0.9094590148585855,1.0500196845170986,1.2074405912038502,0.8832778470004969,1.3603540633832962,1.291095890410959,5 anos
Mayer percentil 0.35/0.20/0.10/0.05,131,1.042403682310142,1.036187488358251,62.59541984732825,0.7857367265076594,0.9805024524214934,1.1231649068284302,0.7520139241163337,1.274664059098337,1.5547945205479452,3 anos
Mayer percentil 0.35/0.20/0.10/0.05,119,1.0894017251873616,1.044506345303586,71.42857142857143,0.7842025453588123,0.9806791088216398,1.1460186037766356,0.7777550372086565,1.2293658988691192,1.5116438356164383,4 anos
Mayer percentil 0.35/0.20/0.10/0.05,106,1.0553720953468564,1.0346775039633875,74.52830188679245,0.8067449751291795,0.998479636196264,1.1249603715826284,0.7931156759883281,1.1815706399397292,1.4793150684931506,5 anos
H0 do briefing,131,1.0649121138894082,1.057406410037497,72.51908396946564,0.9172093341422787,0.9978920968681106,1.1216997754781175,0.889989452695281,1.228307647960869,1.2210045662100457,3 anos
H0 do briefing,119,1.089127883717953,1.0651181514849015,73.94957983193278,0.9081289345740718,0.9967867442052489,1.139027723750974,0.8926817549750993,1.1926255848442633,1.1928082191780822,4 anos
H0 do briefing,106,1.0596187908158576,1.0520668010959346,77.35849056603774,0.9186625436820111,1.0102553618858499,1.1096888163490173,0.9035550348994469,1.1571059973051085,1.1868493150684931,5 anos
Hash Ribbons capitulacao -> 2x,131,1.0168802644878159,1.0157559420312883,79.38931297709924,0.9690037681627495,1.0043664187691475,1.0309699387128317,0.9546465551672173,1.223427558436967,1.1680365296803652,3 anos
Hash Ribbons capitulacao -> 2x,119,1.0155917727232102,1.0128333484217555,68.90756302521008,0.9722356828989415,0.993522800007481,1.0302407368741844,0.9517064422493183,1.207069870178163,1.1767123287671233,4 anos
Hash Ribbons capitulacao -> 2x,106,1.0097054215237462,1.0053475415609254,69.81132075471697,0.9448371545099215,0.9969470631554469,1.0253683742069404,0.9222891413168283,1.2171795470841547,1.158904109589041,5 anos
