date,btc_price,btc_close,mvrv,mvrv_zscore,mayer_multiple,rsi_weekly,ma200d,ma200w,realized_price,nupl,sopr,hash_ribbon,opportunity_score,state,multiplier,dynamic_investment,dynamic_btc_bought,dynamic_btc_total,normal_dca_btc_total,equal_capital_dca_btc_total,dynamic_capital_total
2013-01-01,13.1175,13.22,1.77533304,1.6802357941682229,1.231818563002581,72.09329765768163,10.7321,,7.509222845295269,0.4367254044908667,,1.0,10.158685499999997,NORMAL,1.0,100.0,7.623403849818945,7.623403849818945,7.623403849818945,10.237425297823021,100.0
2013-01-02,13.1275,13.09,1.7682754,1.6618901131095278,1.2159212298546282,72.09329765768163,10.7655,,7.510485534648562,0.4344772313181533,,1.0,9.785640500000003,NORMAL,1.0,100.0,7.617596648257475,15.24100049807642,15.24100049807642,20.467052137982495,200.0
2013-01-03,13.125,13.19,1.78037669,1.6861489771922356,1.221239757418638,72.09329765768163,10.8005,,7.517555820420902,0.4383211116968735,,1.0,11.233348,NORMAL,1.0,100.0,7.619047619047619,22.860048117124038,22.860048117124038,30.698627478492476,300.0
2013-01-04,13.0975,13.19,1.78670376,1.6987083362138495,1.2172219838226677,72.09329765768163,10.83615,,7.52879209792456,0.4403101272927303,,1.0,11.586229999999997,NORMAL,1.0,100.0,7.635044855888529,30.495092973012568,30.495092973012568,40.95168541658703,400.0
2013-01-05,13.14,13.15,1.78641402,1.6956870455391313,1.2097961286523886,72.09329765768163,10.869599999999998,,7.534315458855949,0.4402193507191575,,1.0,10.981165500000001,NORMAL,1.0,100.0,7.610350076103501,38.10544304911607,38.10544304911607,51.17158087657131,500.0
2013-01-06,13.1275,13.15,1.79112313,1.7033823863197042,1.2061841013011196,71.56176487891486,10.90215,,7.539680707428585,0.4416910913321743,,1.0,10.664812000000001,NORMAL,1.0,100.0,7.617596648257475,45.723039697373544,45.723039697373544,61.40120771673079,600.0
2013-01-07,13.1475,13.2,1.79609055,1.712217485535375,1.2071385785943236,71.56176487891486,10.93495,,7.547537988996434,0.4432351976908959,,1.0,10.679298999999997,NORMAL,1.0,100.0,7.606008746910058,53.3290484442836,53.3290484442836,71.61527323064549,700.0
2013-01-08,13.3125,13.5,1.82064961,1.7656865431328288,1.230685081361958,71.56176487891486,10.9695,,7.568919662257143,0.4507454951752083,,1.0,10.443843500000005,NORMAL,1.0,100.0,7.511737089201878,60.84078553348548,60.84078553348548,81.70274187621871,800.0
2013-01-09,13.4775,13.58,1.82378518,1.7702097232814755,1.2339677332885055,71.56176487891486,11.00515,,7.578170613588987,0.4516898092131662,,1.0,10.195472500000003,NORMAL,1.0,100.0,7.4197736969022445,68.26055923038773,68.26055923038773,91.66671340982609,900.0
2013-01-10,13.8175,14.0,1.85730887,1.843387819304828,1.267754218678547,71.56176487891486,11.04315,,7.604105641104272,0.4615865911414077,,1.0,8.967519499999998,NORMAL,1.0,100.0,7.237199203908087,75.49775843429582,75.49775843429582,101.3855067041408,1000.0
