eff,win,p05,pior,cap,w,cuts,eff_por_cap
1.2361302531221203,81.5126050420168,0.8064711842219796,0.7903401721278415,1.6743150684931507,"(1, 0, 0, 0)","(58, 66, 74, 82)",0.35017792743351517
1.2266457784485874,80.67226890756302,0.8371416812494936,0.8167281523146708,1.5113013698630138,"(1, 0, 0, 0)","(64, 72, 80, 88)",0.44327238651699596
1.1951921445540115,79.83193277310924,0.8757179750059906,0.8538367051458617,1.3445205479452054,"(1, 0, 0, 0)","(70, 78, 86, 94)",0.5665616919460374
1.2377329060511504,80.67226890756302,0.8219033665116786,0.8014338207716785,1.5996575342465753,"(1, 0, 0, 0)","(64, 70, 76, 82)",0.396447793072164
1.2242439475537232,78.99159663865547,0.8620816482668793,0.835500149896716,1.468150684931507,"(1, 0, 0, 0)","(70, 76, 82, 88)",0.47899950757635096
1.229121654846046,81.5126050420168,0.8232045104373081,0.8062444782838248,1.6051369863013698,"(1, 0, 0, 0)","(58, 68, 78, 86)",0.37862774881180206
1.203343030991933,81.5126050420168,0.8543079645426986,0.8368683026073326,1.425,"(1, 0, 0, 0)","(64, 74, 84, 92)",0.47845419056925426
1.2373135651297138,84.03361344537815,0.8430674594542971,0.8249379055311971,1.7465753424657535,"(1, 0, 0, 1)","(64, 72, 80, 88)",0.31786954595356154
1.225796997757343,82.35294117647058,0.8774002840404209,0.8553550069127291,1.5794520547945206,"(1, 0, 0, 1)","(70, 78, 86, 94)",0.3896733058223651
1.2385917188450595,82.35294117647058,0.8611836537408023,0.835500149896716,1.6962328767123287,"(1, 0, 0, 1)","(70, 76, 82, 88)",0.3426895322319595
1.2319468539451315,84.03361344537815,0.8535714380157787,0.8386139928575923,1.659931506849315,"(1, 0, 0, 1)","(64, 74, 84, 92)",0.3514711019822439
1.2311558722221734,83.19327731092437,0.8730570890158956,0.8553550069127291,1.641095890410959,"(1, 0, 0, 2)","(70, 78, 86, 94)",0.360563646842279
1.23317973424367,83.19327731092437,0.8496678673918249,0.8386139928575923,1.728082191780822,"(1, 0, 0, 2)","(64, 74, 84, 92)",0.3202656745021242
1.227137183552608,84.03361344537815,0.8656624260811482,0.8553550069127291,1.641095890410959,"(1, 0, 0, 3)","(70, 78, 86, 94)",0.354295179473085
1.232146970429439,83.19327731092437,0.8481140671995373,0.8379664846947877,1.728082191780822,"(1, 0, 0, 3)","(64, 74, 84, 92)",0.3188472030357299
1.1917177188523491,78.99159663865547,0.8027205154605364,0.7850373732273797,1.5924657534246576,"(1, 0, 1, 0)","(64, 72, 80, 88)",0.3235929127450054
1.1686647268113957,78.15126050420169,0.8546260648964309,0.8368530945622339,1.426027397260274,"(1, 0, 1, 0)","(70, 78, 86, 94)",0.3959011272421828
1.1782293649080162,80.67226890756302,0.7752218086488883,0.7560576315234963,1.6636986301369863,"(1, 0, 1, 0)","(64, 70, 76, 82)",0.2685396003774032
1.1980150929442148,78.99159663865547,0.8327639999408056,0.8135960751327674,1.5191780821917809,"(1, 0, 1, 0)","(70, 76, 82, 88)",0.38140110250468817
1.1911659579995666,78.99159663865547,0.7787391216472368,0.766166991226912,1.6845890410958904,"(1, 0, 1, 0)","(58, 68, 78, 86)",0.2792419196391868
1.1682527210428946,78.99159663865547,0.8208542241885575,0.803811378427744,1.5184931506849315,"(1, 0, 1, 0)","(64, 74, 84, 92)",0.32450326647638844
