t1,t2,t3,t4,perfil,eff_mediana,win,p05,capital_x,eff_2021
1.6,1.2,1.0,0.9,conservador,1.160434640694828,85.71428571428571,0.9306217645932018,1.2743150684931508,1.153713298463666
1.6,1.2,1.0,0.9,moderado,1.179630851447576,84.87394957983193,0.9067856627999596,1.3907534246575342,1.1753487160546015
1.6,1.2,1.0,0.9,agressivo,1.2264374215166842,84.03361344537815,0.8939706755541997,1.4794520547945205,1.2269143926493136
1.6,1.2,1.0,0.9,muito agressivo,1.280654936009413,84.87394957983193,0.8528984201568748,1.7815068493150685,1.2802957042943557
1.6,1.2,1.0,0.85,conservador,1.1427195386658355,85.71428571428571,0.9372026496736444,1.2462328767123287,1.1370205045457376
1.6,1.2,1.0,0.85,moderado,1.170786197606761,84.87394957983193,0.9108454889022596,1.3773972602739726,1.1679293385545173
1.6,1.2,1.0,0.85,agressivo,1.2134300637381525,84.03361344537815,0.8975322593562907,1.4561643835616438,1.2133049847863855
1.6,1.2,1.0,0.85,muito agressivo,1.2670439069850432,84.87394957983193,0.8584338470891707,1.7547945205479452,1.2694873023824598
1.6,1.2,1.0,0.8,conservador,1.1192172331419374,84.03361344537815,0.9404149679850913,1.2176369863013699,1.113130448954644
1.6,1.2,1.0,0.8,moderado,1.15770272692163,84.87394957983193,0.9142875752487767,1.3630136986301369,1.1574462225563185
1.6,1.2,1.0,0.8,agressivo,1.1952845642363945,84.03361344537815,0.9003168422808605,1.428082191780822,1.193692803102631
1.6,1.2,1.0,0.8,muito agressivo,1.2508008998828548,84.87394957983193,0.8631167347944526,1.726027397260274,1.2538409236859738
1.6,1.2,1.0,0.75,conservador,1.11286715940344,84.87394957983193,0.9427832789292223,1.211472602739726,1.1101671737600578
1.6,1.2,1.0,0.75,moderado,1.1550455030300808,84.87394957983193,0.9163715954002462,1.3613013698630136,1.1561584968102898
1.6,1.2,1.0,0.75,agressivo,1.1883555914172113,84.87394957983193,0.902566325797353,1.4226027397260275,1.191262995689552
1.6,1.2,1.0,0.75,muito agressivo,1.2440458060161508,84.87394957983193,0.8659502740534007,1.7226027397260273,1.2519056482134168
1.6,1.2,0.95,0.9,conservador,1.1534802064431002,85.71428571428571,0.9311523618265891,1.264041095890411,1.148073328898977
1.6,1.2,0.95,0.9,moderado,1.1754959349303498,84.87394957983193,0.907435553952516,1.3845890410958903,1.1703280151529996
1.6,1.2,0.95,0.9,agressivo,1.2181863964105892,84.03361344537815,0.8947458342464328,1.4633561643835618,1.217847578357715
1.6,1.2,0.95,0.9,muito agressivo,1.2770915197824242,84.87394957983193,0.8538178828298393,1.7691780821917809,1.273217013566176
1.6,1.2,0.95,0.85,conservador,1.137602119015773,85.71428571428571,0.937716890692791,1.2378424657534246,1.1311913504309417
1.6,1.2,0.95,0.85,moderado,1.1673602843344923,84.87394957983193,0.9115074650284513,1.3688356164383562,1.1628324691078404
1.6,1.2,0.95,0.85,agressivo,1.2059983425890657,84.03361344537815,0.8984298277945149,1.4386986301369864,1.203970082399744
1.6,1.2,0.95,0.85,muito agressivo,1.2664864568003171,84.87394957983193,0.859380059785423,1.7376712328767123,1.2622324011152966
1.6,1.2,0.95,0.8,conservador,1.1137614404522616,84.03361344537815,0.9410030748099075,1.209931506849315,1.1070446164271268
1.6,1.2,0.95,0.8,moderado,1.15720856159987,84.87394957983193,0.9149604134594517,1.3551369863013698,1.1522484852262527
1.6,1.2,0.95,0.8,agressivo,1.1874126121837976,84.03361344537815,0.9012862319495485,1.4109589041095891,1.1839937379609473
1.6,1.2,0.95,0.8,muito agressivo,1.251779842990732,84.87394957983193,0.8640872768469076,1.7102739726027398,1.2463468213580713
1.6,1.2,0.95,0.75,conservador,1.109688987127005,84.03361344537815,0.9434111460187843,1.2032534246575342,1.1040494127806326
1.6,1.2,0.95,0.75,moderado,1.1508443239857928,84.87394957983193,0.9170512876192195,1.353082191780822,1.1509484140989046
1.6,1.2,0.95,0.75,agressivo,1.1850834658485339,84.03361344537815,0.9038423635400168,1.4058219178082192,1.1815187609010251
1.6,1.2,0.95,0.75,muito agressivo,1.2414545385631854,84.87394957983193,0.8669363196193213,1.7061643835616438,1.244381980351082
1.6,1.2,0.9,0.85,conservador,1.1271479037789136,85.71428571428571,0.9389461130020249,1.2263698630136985,1.1179298308072823
1.6,1.2,0.9,0.85,moderado,1.1586084341267198,84.87394957983193,0.9137129711048483,1.3534246575342466,1.151215074401178
1.6,1.2,0.9,0.85,agressivo,1.1932200184345008,84.03361344537815,0.9007205112206778,1.4054794520547946,1.1822266783581061
1.6,1.2,0.9,0.85,muito agressivo,1.2542188031708768,84.87394957983193,0.8624505302017833,1.7068493150684931,1.2452893852618214
1.6,1.2,0.9,0.8,conservador,1.102309728057174,84.03361344537815,0.9425981367949272,1.198972602739726,1.0932315914893587
1.6,1.2,0.9,0.8,moderado,1.1482745181326959,84.87394957983193,0.917206216157951,1.3390410958904109,1.1404146518966145
1.6,1.2,0.9,0.8,agressivo,1.1732089220315174,84.03361344537815,0.9041605162612965,1.3791095890410958,1.16144927068326
1.6,1.2,0.9,0.8,muito agressivo,1.239232835978619,84.87394957983193,0.8672468377243817,1.678082191780822,1.2288805588287535
1.6,1.2,0.9,0.75,conservador,1.097807554415509,84.03361344537815,0.9460295936873985,1.1863013698630136,1.0901678460135311
1.6,1.2,0.9,0.75,moderado,1.1456621426768097,84.03361344537815,0.9180711902555186,1.3373287671232876,1.1390881123329772
1.6,1.2,0.9,0.75,agressivo,1.1669008790225788,84.87394957983193,0.9081037459067853,1.3691780821917807,1.1588750183145775
1.6,1.2,0.9,0.75,muito agressivo,1.2349428850395412,84.03361344537815,0.8678580499210806,1.6746575342465753,1.2268511086231304
1.6,1.2,0.85,0.8,conservador,1.0932801001245889,84.03361344537815,0.946017028156805,1.1847602739726026,1.084053568288395
1.6,1.2,0.85,0.8,moderado,1.1409805909432418,84.03361344537815,0.9189572783718177,1.3263698630136986,1.132518722789443
1.6,1.2,0.85,0.8,agressivo,1.158848068503202,84.87394957983193,0.9122242442872188,1.3513698630136985,1.146089943798507
1.6,1.2,0.85,0.8,muito agressivo,1.2287927337661169,84.03361344537815,0.8689088065623857,1.6527397260273973,1.2169299447437838
1.6,1.2,0.85,0.75,conservador,1.0888208045377334,84.87394957983193,0.9511960805953592,1.172431506849315,1.0809475122872028
1.6,1.2,0.85,0.75,moderado,1.1353229482004166,84.87394957983193,0.9189356361881645,1.3246575342465754,1.1311758562428698
1.6,1.2,0.85,0.75,agressivo,1.1546301753137496,84.87394957983193,0.9163518761159953,1.3434931506849315,1.1434528084169502
1.6,1.2,0.85,0.75,muito agressivo,1.2197552150262745,84.87394957983193,0.8683598922431207,1.6493150684931508,1.2148597792475946
1.6,1.1,1.0,0.9,conservador,1.1582580569892258,85.71428571428571,0.9330194836920435,1.2657534246575342,1.1527834534249153
1.6,1.1,1.0,0.9,moderado,1.1760993238483417,84.03361344537815,0.912227813922392,1.3756849315068493,1.1739557174341442
1.6,1.1,1.0,0.9,agressivo,1.2275616893464831,84.03361344537815,0.8975551000610071,1.4654109589041096,1.2263036622807963
1.6,1.1,1.0,0.9,muito agressivo,1.2735993959754686,84.03361344537815,0.8606702603343196,1.7513698630136987,1.2805208772753143
1.6,1.1,1.0,0.85,conservador,1.1404480972924302,85.71428571428571,0.9394261196728315,1.2376712328767123,1.1359426021511814
1.6,1.1,1.0,0.85,moderado,1.168596300101246,84.87394957983193,0.9163878014524972,1.3633561643835617,1.1664180565547246
1.6,1.1,1.0,0.85,agressivo,1.2112454661939236,84.03361344537815,0.9014031352187324,1.4407534246575342,1.212494408755277
1.6,1.1,1.0,0.85,muito agressivo,1.2590595849772632,84.87394957983193,0.8664299055117521,1.7267123287671233,1.2694576208779567
1.6,1.1,1.0,0.8,conservador,1.1167538675743232,84.03361344537815,0.9429264803097895,1.2101027397260273,1.111838084480386
1.6,1.1,1.0,0.8,moderado,1.1561022761835884,84.87394957983193,0.9199199945129286,1.348972602739726,1.1557678807187761
1.6,1.1,1.0,0.8,agressivo,1.1920021526336937,84.03361344537815,0.9044725448338791,1.411986301369863,1.1925890567775914
1.6,1.1,1.0,0.8,muito agressivo,1.2441762173747082,84.87394957983193,0.8713169952337774,1.6979452054794522,1.2534337318112057
1.6,1.1,1.0,0.75,conservador,1.1108313157578504,84.03361344537815,0.9458486337287465,1.2042808219178083,1.1088478054541386
1.6,1.1,1.0,0.75,moderado,1.1514373682616517,84.87394957983193,0.9204475462655448,1.3472602739726027,1.1544595044131793
1.6,1.1,1.0,0.75,agressivo,1.1855741864248293,84.03361344537815,0.9079034711949335,1.4058219178082192,1.1901223957483842
1.6,1.1,1.0,0.75,muito agressivo,1.2424244290276067,84.87394957983193,0.8714026546342257,1.6945205479452055,1.2514511244143345
1.6,1.1,0.95,0.9,conservador,1.1512945998070163,85.71428571428571,0.9335559951652826,1.2571917808219177,1.1470924335155988
1.6,1.1,0.95,0.9,moderado,1.1718927147504554,84.03361344537815,0.912891207949417,1.3654109589041097,1.1688530789585463
1.6,1.1,0.95,0.9,agressivo,1.2152015050636045,84.03361344537815,0.8984433034748606,1.4486301369863013,1.2171021700669087
1.6,1.1,0.95,0.9,muito agressivo,1.2730468314511452,84.03361344537815,0.8616202176564989,1.7308219178082191,1.2732760380410828
1.6,1.1,0.95,0.85,conservador,1.135280742811277,85.71428571428571,0.9399463421063488,1.2299657534246575,1.1300591561416151
1.6,1.1,0.95,0.85,moderado,1.1642961295486483,84.87394957983193,0.9170636783980453,1.3554794520547946,1.161236878313274
1.6,1.1,0.95,0.85,agressivo,1.2049586460369806,84.03361344537815,0.9023188651330442,1.4205479452054794,1.2030169886925255
1.6,1.1,0.95,0.85,muito agressivo,1.2632125621841168,84.87394957983193,0.867408036731684,1.710958904109589,1.2620280900194691
1.6,1.1,0.95,0.8,conservador,1.1112431659002548,84.03361344537815,0.9435215156180624,1.2027397260273973,1.105693484110467
1.6,1.1,0.95,0.8,moderado,1.1540085849291162,84.87394957983193,0.9206070996373439,1.3414383561643837,1.150482675816951
1.6,1.1,0.95,0.8,agressivo,1.1850434458816717,84.03361344537815,0.9054618516234022,1.3945205479452054,1.1827366284155931
1.6,1.1,0.95,0.8,muito agressivo,1.248055398758898,84.87394957983193,0.8723207919217347,1.6828767123287671,1.245753271611011
1.6,1.1,0.95,0.75,conservador,1.1082268028711406,84.03361344537815,0.9466525548743386,1.1933219178082193,1.1026707123355557
1.6,1.1,0.95,0.75,moderado,1.1493400383044614,84.87394957983193,0.920837566642793,1.3363013698630137,1.1491615652084848
1.6,1.1,0.95,0.75,agressivo,1.1816359747221123,84.03361344537815,0.9092057342774904,1.3866438356164383,1.1802234355189647
1.6,1.1,0.95,0.75,muito agressivo,1.2367595952235761,84.87394957983193,0.8719298207387515,1.6726027397260275,1.243739632606065
1.6,1.1,0.9,0.85,conservador,1.1246712358444444,85.71428571428571,0.9411956374026648,1.2190068493150685,1.1166737316228752
1.6,1.1,0.9,0.85,moderado,1.1547311422074504,84.87394957983193,0.9193220301501321,1.3356164383561644,1.1494265338521434
1.6,1.1,0.9,0.85,agressivo,1.1896361314877875,84.03361344537815,0.9047012530339337,1.3924657534246576,1.1809336525256402
1.6,1.1,0.9,0.85,muito agressivo,1.249610381024309,84.87394957983193,0.8705990565629015,1.6712328767123288,1.2446659264850106
1.6,1.1,0.9,0.8,conservador,1.0996226383216805,84.03361344537815,0.9451661364159635,1.1922945205479452,1.0917468344412529
1.6,1.1,0.9,0.8,moderado,1.1442428337900616,84.87394957983193,0.921515569750296,1.3212328767123287,1.138449046395954
1.6,1.1,0.9,0.8,agressivo,1.1693365088547947,84.03361344537815,0.9095190072840772,1.3664383561643836,1.1598278311297416
1.6,1.1,0.9,0.8,muito agressivo,1.234278976301039,84.87394957983193,0.8730883321049748,1.6424657534246576,1.227841682309693
1.6,1.1,0.9,0.75,conservador,1.095138211162428,84.03361344537815,0.9493788900568383,1.1787671232876713,1.0886542965535406
1.6,1.1,0.9,0.75,moderado,1.1428388216100405,84.03361344537815,0.9215100900438108,1.3195205479452055,1.1371006251201832
1.6,1.1,0.9,0.75,agressivo,1.1667924738900324,84.03361344537815,0.9135675691537009,1.3534246575342466,1.1572123014319937
1.6,1.1,0.9,0.75,muito agressivo,1.2310142183808235,84.03361344537815,0.8725827253528358,1.639041095890411,1.2257601654791337
1.6,1.1,0.85,0.8,conservador,1.0905094395653459,84.03361344537815,0.9493604192230135,1.1779109589041097,1.0824801951042229
1.6,1.1,0.85,0.8,moderado,1.1368308647055498,84.03361344537815,0.9224218980895788,1.3085616438356165,1.130419777097705
1.6,1.1,0.85,0.8,agressivo,1.1547482349481348,84.03361344537815,0.9177806846377503,1.3366438356164383,1.144215592628704
1.6,1.1,0.85,0.8,muito agressivo,1.223575572682065,84.03361344537815,0.8736881402547687,1.617123287671233,1.215579349153031
1.6,1.1,0.85,0.75,conservador,1.0860680933353273,84.87394957983193,0.9546171908566906,1.1643835616438356,1.079344583365723
1.6,1.1,0.85,0.75,moderado,1.131942333983166,84.87394957983193,0.9224221320414432,1.3068493150684932,1.1290545043090292
1.6,1.1,0.85,0.75,agressivo,1.1521177208095146,84.87394957983193,0.9220203214702739,1.327054794520548,1.1415351965423972
1.6,1.1,0.85,0.75,muito agressivo,1.2154906741066018,84.87394957983193,0.8731795166341432,1.6136986301369862,1.2134550145123888
1.6,1.05,1.0,0.9,conservador,1.1565426759562547,85.71428571428571,0.9331450890136429,1.260958904109589,1.150675252870531
1.6,1.05,1.0,0.9,moderado,1.174532484942895,84.03361344537815,0.9125307459646566,1.3660958904109588,1.170184341088173
1.6,1.05,1.0,0.9,agressivo,1.2262362445874198,84.03361344537815,0.8977802423220925,1.4554794520547945,1.2229711216909447
1.6,1.05,1.0,0.9,muito agressivo,1.2751027679979268,84.03361344537815,0.8611097669893231,1.7321917808219178,1.2753368392486508
