date,open,high,low,close,volume,n,vwap,ohlc4,mvrv,market_cap,supply,hashrate,cm_price,realized_cap,realized_price,price_to_rp,nupl,mvrv_zscore,ma200d,mayer,ma200w,p_ma200w,rsi_weekly,rsi_weekly_prev,hr_ma30,hr_ma60,hr_capitulation,hr_recovery,hash_ribbon,pct_mvrv,pct_mayer,pct_p_ma200w,pct_price_to_rp,pct_rsi_weekly,pct_mvrv_zscore
2012-01-01,4.58,5.0,4.58,5.0,21.602,1439,4.896729932413665,4.79,1.07623657,42410102.14057715,8009699.98999999,8.82204243293291,5.2948427773232,39405929.2564061,4.919775934879447,1.0163064469159648,0.07083625675347571,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-02,5.0,5.0,5.0,5.0,19.048,1440,5.0,5.0,1.05930034,41728807.22659483,8017249.98999999,8.70672161681614,5.2048778918761,39392800.74864776,4.913505353803719,1.0176034500764963,0.05598066739032681,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-03,5.0,5.32,5.0,5.29,88.03728092,1440,5.279640677773445,5.1525,0.99064729,39086807.40382037,8025199.98999999,9.16800488128322,4.87050882875511,39455826.30506199,4.916491346536778,1.0759705707051281,-0.00944100901946654,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-04,5.29,5.57,4.93,5.57,107.23326023,1440,5.350094339837083,5.34,1.13112076,44868023.3905257,8032649.98999999,8.59140080069937,5.58570626709527,39666872.872641556,4.938205065828046,1.1279401980577763,0.11592109758466462,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-05,5.57,6.65,5.57,6.65,94.80182926,1440,6.206642344353641,6.109999999999999,1.37524885,55266966.984468594,8039999.98999999,8.4760799845826,6.87400087726476,40186884.71142411,4.998368751418886,1.3304340537324832,0.2728588720506837,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-06,6.65,6.9,6.0,6.0,33.88274671,1440,6.597420171928559,6.3875,1.3299183,53791008.07585059,8048549.98999999,9.85992977798385,6.68331663997662,40446851.56663427,5.0253588058579375,1.193944598146096,0.24807411101869947,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-07,6.0,6.8,6.0,6.8,0.29585799,1440,6.799999999999999,6.4,1.34825017,54762305.94362807,8057749.98999999,10.6095150827429,6.79622798071303,40617318.03351308,5.040776654018913,1.3489984712134573,0.2582978869566914,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-08,6.8,7.0,6.8,7.0,5.0,1440,6.92,6.9,1.40190243,57240873.73203877,8065899.98999999,9.57473527320661,7.09665056633548,40830854.20719241,5.0621572617828186,1.3828096675002746,0.2866835960902072,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-09,7.0,7.0,6.23,6.3,66.8693229,1440,6.6225611463190095,6.6325,1.23859081,50774287.3682112,8074099.98999999,10.196782731553,6.28853834248977,40993592.846221104,5.077171808250192,1.2408482986064728,0.19263085764377663,,,,,,,,,,0.0,0.0,,,,,,,
2012-01-10,6.3,7.14,6.24,7.14,62.28998018,1440,6.633556203162368,6.705,1.28528776,52757582.08671905,8081149.98999999,8.76674612895719,6.52847455523086,41047292.076226614,5.079387479136081,1.4056813010088365,0.22196411486872003,,,,,,,,,,0.0,0.0,,,,,,,
